TypeCode,FreqCode,RefPeriodId,RefYear,RefMonth,Period,ReporterCode,ReporterISO,ReporterDesc,FlowCode,FlowDesc,PartnerCode,PartnerISO,PartnerDesc,Partner2Code,Partner2ISO,Partner2Desc,ClassificationCode,ClassificationSearchCode,IsOriginalClassification,CmdCode,CmdDesc,AggrLevel,IsLeaf,CustomsCode,CustomsDesc,MosCode,MotCode,MotDesc,QtyUnitCode,QtyUnitAbbr,Qty,IsQtyEstimated,AltQtyUnitCode,AltQtyUnitAbbr,AtlQty,IsAltQtyEstimated,NetWgt,IsNetWgtEstimated,GrossWgt,IsGrossWgtEstimated,Cifvalue,Fobvalue,PrimaryValue,LegacyEstimationFlag,IsReported,IsAggregate
C,A,19880101,1988,52,1988,280,DEU,Fed. Rep. of Germany (...1990),X,Export,0,W00,World,0,W00,World,H0,HS,TRUE,2504,Graphite; natural,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,9114596,FALSE,-1,N/A,,TRUE,9114596,FALSE,,FALSE,,10320000,10320000,0,FALSE,FALSE
C,A,19880101,1988,52,1988,300,GRC,Greece,M,Import,0,W00,World,0,W00,World,H0,HS,TRUE,2504,Graphite; natural,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,656599,FALSE,-1,N/A,,TRUE,656599,FALSE,,FALSE,478129,,478129,0,FALSE,FALSE
C,A,19880101,1988,52,1988,280,DEU,Fed. Rep. of Germany (...1990),M,Import,0,W00,World,0,W00,World,H0,HS,TRUE,2601,Iron ores and concentrates; including roasted iron pyrites,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,45271801856,FALSE,-1,N/A,,TRUE,45271801856,FALSE,,FALSE,1169709952,,1169709952,0,FALSE,FALSE
C,A,19880101,1988,52,1988,280,DEU,Fed. Rep. of Germany (...1990),X,Export,0,W00,World,0,W00,World,H0,HS,TRUE,2601,Iron ores and concentrates; including roasted iron pyrites,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,37727472,FALSE,-1,N/A,,TRUE,37727472,FALSE,,FALSE,,1363000,1363000,0,FALSE,FALSE
C,A,19880101,1988,52,1988,300,GRC,Greece,M,Import,0,W00,World,0,W00,World,H0,HS,TRUE,2601,Iron ores and concentrates; including roasted iron pyrites,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,9771800,FALSE,-1,N/A,,TRUE,9771800,FALSE,,FALSE,116394,,116394,0,FALSE,FALSE
C,A,19880101,1988,52,1988,300,GRC,Greece,X,Export,0,W00,World,0,W00,World,H0,HS,TRUE,2601,Iron ores and concentrates; including roasted iron pyrites,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,93286000,FALSE,-1,N/A,,TRUE,93286000,FALSE,,FALSE,,5359993,5359993,0,FALSE,FALSE
C,A,19880101,1988,52,1988,280,DEU,Fed. Rep. of Germany (...1990),M,Import,0,W00,World,0,W00,World,H0,HS,TRUE,2602,"Manganese ores and concentrates, including manganiferous iron ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,514446016,FALSE,-1,N/A,,TRUE,514446016,FALSE,,FALSE,35889000,,35889000,0,FALSE,FALSE
C,A,19880101,1988,52,1988,280,DEU,Fed. Rep. of Germany (...1990),X,Export,0,W00,World,0,W00,World,H0,HS,TRUE,2602,"Manganese ores and concentrates, including manganiferous iron ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2933769,FALSE,-1,N/A,,TRUE,2933769,FALSE,,FALSE,,1034000,1034000,0,FALSE,FALSE
C,A,19880101,1988,52,1988,300,GRC,Greece,M,Import,0,W00,World,0,W00,World,H0,HS,TRUE,2602,"Manganese ores and concentrates, including manganiferous iron ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,81698,FALSE,-1,N/A,,TRUE,81698,FALSE,,FALSE,859071,,859071,0,FALSE,FALSE
C,A,19880101,1988,52,1988,300,GRC,Greece,X,Export,0,W00,World,0,W00,World,H0,HS,TRUE,2602,"Manganese ores and concentrates, including manganiferous iron ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,20000,FALSE,-1,N/A,,TRUE,20000,FALSE,,FALSE,,276,276,0,FALSE,FALSE
